id,title,doc_type,degree,year,university,authors,advisors,co_advisors,abs_text,keyword_text,subject
1,پیش بینی تقاضای قطعات یدکی با استفاده از هوش مصنوعی با تکیه بر روش شبکه عصبی مصنوعی,پیشنهاده,کارشناسی ارشد,1402,دانشگاه کردستان، دانشکده فنی و مهندسی,رویا میرزائی مهر,محمود شهرخی,,هوش مصنوعی و یادگیری ماشینی روزبه‌روز در حال تسخیر بیشتر صنایع و جنبه‌های مختلف زندگی ما هستند. البته که صنعت لجستیک و زنجیره تامین نیز از این امر مستثنی نیست. در دنیای امروز، مدیریت بهینه زنجیره تأمین یکی از چالش‌های اساسی در صنایع تولید است. پیش‌بینی دقیق تقاضا نیز از جمله موارد مهم در این زمینه است که می‌تواند به بهبود عملکرد و بهره‌وری کمک کند. در این پروپوزال، ما قصد داریم با بکارگیری روش شبکه عصبی مصنوعی برای پیش‌بینی تقاضای قطعات یدکی در زنجیره تأمین استفاده کنیم. با به‌کارگیری این فناوری می‌توان فرایندها را بهینه کرد، از اشتباهاتی که توسط انسان‌ها رخ می‌دهد اجتناب نمود و فرصت‌ها و چالش‌های آینده را پیش‌بینی نمود ؛ بنابراین زمینه سودآوری و موفقیت کسب‌وکارها نیز فراهم خواهد شد. در حوزه مهندسی صنایع، می‌توان از روش شبکه عصبی مصنوعی برای پیش‌بینی تقاضا در زنجیره تأمین استفاده کرد. به عنوان مثال در تحقیقات صورت گرفته در یک شرکت تولیدی، با جمع‌آوری داده‌های مرتبط با فروش گذشته، میزان مواد اولیه، شرایط بازار، و سایر عوامل مؤثر، می‌توان یک مدل شبکه عصبی مصنوعی را ایجاد کرد. پس از ایجاد مدل، با ورود داده‌های فرآیند تولید جدید، می‌توان پیش‌بینی کرد که چقدر مواد اولیه و منابع دیگر برای تولید محصولات آینده نیاز خواهد بود. این کمک می‌کند تا زنجیره تأمین بهینه‌تر مدیریت شود، موجب کاهش هدررفت و بهبود کارایی تولید شود. در این مطالعه ، مراحل استفاده از روش عصبی مصنوعی شامل جمع‌آوری داده‌ها، پیش‌پردازش، ساختاردهی مدل، آموزش، پیش‌بینی تقاضا، و ارزیابی مدل مطرح می‌شوند و پس از نتایج حاصل از این مطالعه به این مهم پی خواهیم برد که هوش مصنوعی چگونه می‌تواند از طریق پیش بینی تقاضا به توسعه کسب‌وکارها کمک کند ازجمله مواردی که میشود استفاده موثری از آنها در توسعه کسب و کار داشته باشیم میتوان به موارد ذیل اشاره نمود: - مدیریت انبار - تجزیه‌وتحلیل مسیر و انبار - هوش مصنوعی در لجستیک برای پیش‌بینی تقاضا - بهینه‌سازی مسیر لجستیک - پیش‌بینی ساعات اوج با استفاده از هوش مصنوعی در مراکز لجستیک - انتخاب تامین‌کننده و مدیریت ارتباط با تامین‌کننده - پردازش داده‌های زبان خارجی و ایجاد استحکام در داده‌ها - برنامه‌ریزی نیروی کار,"هوش مصنوعی / هوش مصنوعی
تولید قطعات / هوش مصنوعی",
2,تاثیر همکاری انسان و هوش مصنوعی بر رفاه زنجیره تأمین: نقش میانجی اعتماد به هوش مصنوعی و هوش مصنوعی مسئولانه,پیشنهاده,کارشناسی ارشد,1404,دانشگاه شهید اشرفی اصفهانی، دانشکده مدیریت,رویا شهابی,حمیدرضا طلایی,,همکاری انسان و هوش مصنوعی فرصت‌های قابل توجهی برای بهینه‌سازی نتایج زنجیره تأمین ارائه می‌دهد، اما با موانع اخلاقی، فنی و سازمانی متعددی روبرو است که ممکن است کارایی و رفاه زنجیره تامین را مختل کند (وان یاروسان، 2025). پژوهش حاضر پیشنهاد می‌کند که سیستم‌های هوش مصنوعی مسئولانه و اعتماد به هوش مصنوعی می‌توانند به عنوان پلی بین همکاری انسان و هوش مصنوعی و رفاه زنجیره تأمین عمل کنند تا این چالش‌ها را برطرف نمایند. بر این اساس، نقش میانجی هوش مصنوعی مسئولانه و اعتماد به هوش مصنوعی در رابطه بین همکاری انسان و هوش مصنوعی و رفاه زنجیره تأمین تحلیل شده است. این پژوهش در هلدینگ گلنور، یکی از پیشگامان صنعت برق و روشنایی در ایران که در اصفهان تأسیس شده و بر طراحی، تولید و توزیع محصولات روشنایی داخلی و خارجی با کیفیت بالا تمرکز دارد، انجام می‌شود تا تأثیر این عوامل در یک زمینه واقعی بررسی گردد.,"همکاری انسان و هوش مصنوعی / اعتماد به هوش مصنوعی
رفاه زنجیره تأمین / هوش مصنوعی مسئولانه",
3,چالش های کاربردی هوش مصنوعی در دادرسی کیفری؛ باتاکید بر اصول استقلال قضایی و رعایت حریم خصوصی,پیشنهاده,کارشناسی ارشد,1401,دانشگاه تربیت مدرس، دانشکده حقوق,ملیحه ابوالقاسمی,روح الدین کردعلیوند,,کاربرد فناوری های نوین ناشی از هوش مصنوعی در دادرسی های مربوط به امور کیفری ظرفیت های مهمی در زمینه دسترسی به عدالت، کاهش هزینه های دادرسی، بالا رفتن سرعت و دقت در دادرسی ایجاد می کنند، با این حال در فقدان اصول راهبردی لازم برای منصفانه کردن این کاربرد و همچنین در فقدان سازوکار نظارتی مستقل و تخصصی در در این زمینه، کاربرد این فناوری اصول و قواعد دادرسی منصفانه را با چالش های مهمی روبرو می سازد. اندیشه عدالت اقتضاء می کند که در این زمینه تنظیم گری مناسب و موثر صورت گیرد.,"هوش مصنوعی. آیین دادرسی کیفری. دادرسی منصفانه / دادرسی منصفانه
دادرسی منصفانه / هوش مصنوعی",
4,ارزیابی عوامل موثر بر ایجاد اعتماد مشتری به هوش مصنوعی انسان نمای پزشکی در سامانه های سلامت,پیشنهاده,کارشناسی ارشد,1402,دانشگاه علم و صنعت ایران، دانشکده مدیریت، اقتصاد و مهندسی پیشرفت,بهراد سلطانی,یاسر سبحانی فرد,,"یکی از چالش‌های مهم در استفاده از هوش مصنوعی پزشکی، اعتماد مشتریان به این سامانه‌ها است (Kok et al., 2018). اعتماد به هوش مصنوعی مهم است زیرا وقتی که افراد در موقعیت‌هایی قرار دارند که تصمیم‌گیری‌های حیاتی را بر عهده هوش مصنوعی می‌گذارند، اعتماد به قدرت و صحت تصمیم‌گیری هوش مصنوعی برایشان مهم می‌شود. مطالعه شیاویز و همکاران (2019) نشان می‌دهد که اعتماد به هوش مصنوعی در فرایندهای تصمیم‌گیری مهم و پیچیده نقش حیاتی دارد. برای پذیرش و بهره‌برداری موثر از فناوری‌های هوش مصنوعی، کاربران نیاز به اعتماد و اطمینان دارند. مقاله‌ی Wang و همکاران (2020) به اهمیت اعتماد به هوش مصنوعی در ساختن اعتماد و قبولی این فناوری‌ها توسط کاربران اشاره می‌کند.از دیگر دلایل اهمیت اعتماد به هوش مصنوعی میتوان به این مورد اشاره کرد که اعتماد تأثیر مستقیمی در رضایت و رابطه کاربران با هوش مصنوعی دارد. مطالعه‌ی Mayer و دیگران (2019) نشان می‌دهد که اعتماد به هوش مصنوعی تأثیر مهمی در رضایت و ارتباط کاربران با عامل‌های مصنوعی دارد. در ارتباطات انسان و ماشین، عدم اعتماد می‌تواند به ناهماهنگی و مشکلات بینش انسانی و هوش مصنوعی منجر شود. مقاله‌ی Hancock و شرکای (2011) به اهمیت اعتماد در طراحی سیستم‌های هوش مصنوعی به منظور ایجاد توازن مناسب بین اعتماد و انسانیت در رابطه با این سیستم‌ها اشاره می‌کند. به طور کلی، اعتماد به هوش مصنوعی به عنوان یک عامل کلیدی موفقیت فناوری‌های هوش مصنوعی در هر زمینه‌ای مهم است. این اعتماد به تصمیم‌گیری دقیق، قابلیت قبول و ارتباط موثر با هوش مصنوعی را افزایش می‌دهد.در ادامه به بررسی اهمیت اعتماد به هوش مصنوعی در زمینه ی سلامت و بهداشت میپردازیم. اعتماد به هوش مصنوعی در حوزه سلامت و بهداشت اهمیت بسیاری دارد. اعتماد به هوش مصنوعی نه تنها بر دقت و قدرت تصمیم‌گیری هوش مصنوعی تأثیر می‌گذارد، بلکه در رابطه بین بیمار و پزشک و در رضایت بیماران نیز نقش مهمی دارد.(Koay, 2020) اعتماد به هوش مصنوعی در تشخیص بیماری‌ها و تحلیل علائم بهداشتی نقش بسیار مهمی دارد. د فاو در مقاله اش به اهمیت اعتماد در تصمیم‌گیری‌های مرتبط با تشخیص بیماری‌ها و تحلیل علائم بهداشتی توسط هوش مصنوعی پرداخته است. نتیجه این مقاله نشان می‌دهد که اعتماد به هوش مصنوعی در تشخیص بیماری‌ها و تصمیم‌گیری‌های مرتبط با سلامت می‌تواند دقت تشخیص را افزایش دهد و بهبودی در کیفیت مراقبت ایجاد کند (De Fauw, J., et al., 2018).در مقاله ای اهمیت اعتماد در بهبود تعامل بین بیماران و هوش مصنوعی در حوزه سلامت بررسی شده است. نتایج این مقاله نشان می‌دهد که ایجاد اعتماد به هوش مصنوعی در حوزه سلامت می‌تواند منجر به افزایش رضایت بیماران، کاهش نگرانی‌ها و بهبود خدمات بهداشتی شود (Lim, B. Y., et al. (2021))0 اعتماد به هوش مصنوعی در حوزه سلامت می‌تواند بهبود کیفیت خدمات بهداشتی را به همراه داشته باشد و باعث افزایش رضایت بیماران و استفاده بیشتر از خدمات بهداشتی شود(Sun, L., et al. (2019). با توجه به مطالب گفته شده، ارزش و اهمیت اعتماد به هوش مصنوعی، به ویژه هوش مصنوعی پزشکی، مورد بررسی قرار گرفت. هرچند تحقیقات گذشته درباره هوش مصنوعی با ظاهر انسان گونه موجود نبوده‌اند، اما این حوزه جدید و جذاب، که به هوش مصنوعی انسان‌نمای پزشکی اشاره می‌کند، نیازمند بررسی و ارزیابی است. این مقاله به منظور بررسی این مسئله مهم و بروز، عوامل مؤثر بر ایجاد اعتماد مشتریان به هوش مصنوعی انسان‌نمای پزشکی در سامانه‌های سلامت را مورد ارزیابی قرار می‌دهد.در این مطالعه، ما به بررسی عوامل مختلفی که می‌توانند بر اعتماد مشتریان به هوش مصنوعی انسان‌نمای پزشکی در سامانه‌های سلامت تأثیر بگذارند، می‌پردازیم. این عوامل شامل ظاهر هوش مصنوعی، امانت‌داری و حفظ حریم خصوصی اطلاعات، دقت و قابلیت پیش‌بینی در تشخیص بیماری‌ها، ارائه راهنمایی و پاسخ‌گویی موثر، قابلیت تعامل و تجربه کاربری مناسب، و اطلاعاتی که هوش مصنوعی ارائه می‌دهد، می‌باشند (Nundy et al., 2019; Yu et al., 2020).با بررسی دقیق و عمیق این عوامل و نقش آنها در ایجاد اعتماد مشتریان، می‌توانیم بهبود‌های لازم در سامانه‌های سلامت مبتنی بر هوش مصنوعی انسان‌نمای پزشکی را شناسایی کرده و به ارتقای تجربه کاربری و اعتماد مشتریان در این سامانه‌ها کمک کنیم. این مطالعه به عنوان یک پژوهش در زمینه مارکتینگ با تمرکز بر هوش مصنوعی و سلامت، می‌تواند به نحوه بهبود استراتژی‌های بازاریابی و توسعه سامانه‌های سلامت مفید باشد.","هوش مصنوعی انسان‌نما / رفتار مشتری
اعتماد مشتری / هوش مصنوعی پزشکی",
5,امکان سنجی تحقق نفس انسانی در هوش مصنوعی بر اساس فلسفه اسلامی,پیشنهاده,دکتری تخصصی (PhD),1403,دانشگاه ادیان و مذاهب، دانشکده فلسفه,امیرحسین ایمانی مقدم,حسن معلمی | احمد لهراسبی,بهروز مینایی,در عصر حاضر، هوش مصنوعی بسیاری از ساحت های حیات بشری را تحت تاثیر مستقیم یا غیر مستقیم خود قرار داده است. این پدیده شگرف با مسئله هایی روبروست که نوعا ماهیت متافیزیکی دارند؛ ازاینرو نمی توان اهمیت قابل توجه فلسفه را در موضوع هوش مصنوعی مورد انکار قرار داد. هوش‌مصنوعی در مرتبه ضعیف خود با مشکلات فلسفی زیادی مواجه نیست، اما وضعیت در مورد هوش مصنوعی قوی متفاوت است. مسئله این است که آیا ممکن است ماشینی قابلیت ها و کارکرد های انسانی را مانند تفکر، تعلیم و تعلم، احساسات و عواطف و غیره را همچون انسان و یا حتی در سطحی بالا تر از انسان برخوردار باشد؟ فلاسفه معاصر غربی دیدگاه های متفاوتی در این بحث دارند لکن باید دید، طبق دیدگاه مکاتب فلسفه اسلامی آیا هوش مصنوعی می تواند تبدیل به نفس انسانی و یا دارای نفس انسانی گردد؟ چراکه از طرفی طبق مکتب فیلسوفان مشاء نفس انسانی امری است که در حدوث و بقاء مجرد است و این امر مجرد همانند ناخدا نسبت به کشتی، بدن مادی را سکان داری میکند؛ از طرف دیگر در مکتب صدرایی نفس انسانی، جسمانیت الحدوث و روحانیت البقا است، به گونه ای که در ابتدای امر، ماده ای بوده که با حرکت جوهری خود به حد تجرد نائل شده است؛ حال طبق این دو تفسیر مهم از نفس در فلسفه اسلامی، آیا می توان ادعا کرد که هوش مصنوعی نیز که مصنوع بشر است ممکن است تبدیل به نفس مجرد و یا در مسیر حرکت جوهری خود اشتداد وجودی یافته و به مرتبه تجرد نائل گردد و به عبارتی دارای نفس شود؟ این رساله برای اولین بار و با عنایت به مبانی فلسفه اسلامی در مسئله نفس به تحلیل و بررسی دقیق امکان سنجی تبدیل و یا دستیابی هوش مصنوعی به نفس انسانی خواهد پرداخت.,"نفس انسانی هوش مصنوعی امکان سنجی فلسفه اسلامی / نفس انسانی هوش مصنوعی فلسفه اسلامی امکان سنجی
نفس انسانی هوش مصنوعی امکان سنجی / هوش مصنوعی فلسفه اسلامی امکان سنجی نفس انسانی",
6,بررسی تاثیر شایستگی های هوش مصنوعی(AI) بر عملکرد سازمانی با نقش میانجی قابلیت های بازاریابیB2B مخابرات استان گلستان,پیشنهاده,کارشناسی ارشد,1402,موسسه آموزش عالی گلستان، دانشکده علوم انسانی,عباس زرگری,سمانه میقانی,سمانه پهلوان,ای تحقیق به بررسی تاثیر شایستگی های هوش مصنوعی(AI) بر عملکرد سازمانی با نقش میانجی قابلیت های بازاریابیB2B مخابرات استان گلستان پرداخت. این پژوهش از نظر هدف، کاربردی و از نظر روش توصیفی- پیمایشی و از نظر نوع، همبستگی می باشد.جامعه آماری مورد مطالعه کلیه مشتریان شرکت مخابرات در استان گلستان است.حجم نمونه بر مبنای فرمول کوکران برابر 384 مشتری از مشتریان شرکت مخابرات استان گلستان می باشد که پرسشنامه ها به روش نمونه گیری تصادفی ساده توزیع خواهد شد.در تجزیه و تحلیل پرسشنامه از مباحث استنباطی و توصیفی آماری استفاده می شود. آماره‌های توصیفی شامل جداول فراوانی و میانگین و انحراف معیار می‌باشد و در سطح استنباطی نیز از مدل معادلات ساختاری نرم افزاری Smart PLS 3.0 استفاده می شود.,"هوش مصنوعی / هوش مصنوعی
قابلیت های بازاریابیB2B / B2B marketing capabilities
عملکرد سازمانی / عملکرد سازمانی",
7,مطالعه تطبیقی مسئولیت مدنی ناشی از استفاده از هوش مصنوعی در امور پزشکی در حقوق ایران و انگلیس,پیشنهاده,کارشناسی ارشد,1402,دانشگاه خاتم، دانشکده علوم انسانی,مهدیه فولادی,مصطفی نورالهی,,هدف اصلی این تحقیق تحلیل چالش ها و مسائل حقوقی مرتبط با تصمیم گیری های اتوماتیک و پیش بینی های هوش مصنوعی در تشخیص،درمان و مراقبت از بیماران است.این پژوهش در نهایت به یافته های مبتنی براصول مسئولیت مدنی جدیدی که در قبال خطاها یا نقص های وقوع یافته توسط سیستم های هوش مصنوعی در امور پزشکی مطرح می شود، می پردازد. اما در ادامه در مطالعه تطبیقی مسئولیت مدنی ناشی از استفاده از هوش مصنوعی در امور پزشکی در حقوق انگلیس و ایران باید گفته شود رشد صنعتی جوامع و پیشرفت فناوری، سبب شده که بشر هر روز به اختراعات جدیدی دست پیدا کند و در سایه پیشرفت فناوری و پیدایش مفاهیم جدید هوش مصنوعی و دانش رباتیک نیز وارد مرحله جدیدی از حیات خویش شده است، ضرورت اتخاذ قواعد و ضمانت اجر اهایی که بتواند استفاده از این ابزارآلات فنی را در بستری امن تضمین نماید، از لوازم ورود در این مرحله است. اگر بپذیریم هوش مصنوعی استقلال شخصیتی دارد به این علت که می تواند مستقل تصمیم بگیرد، می توان هوش مصنوعی را مسئول عمل و یاترک فعل خویش قلمداد کرد که آثار حقوقی آن شامل جبران خسارت تنها از طریق نهادهایی چون بیمه می شود؛ چر ا که عملا نمی توان جبران خسارت را از هوش مصنوعی مطالبه نمود و این فرض که هوش مصنوعی دارای شخصیت هستند عملا رد می شود چرا که نه قانون گذار این امر را می پذیرد و نه عرف قبول می کند که یک ربات یا دستگاهی که با هوش مصنوعی کار می کند دارای شخصیت از منظر حقوقی باشند .می توان در فرض دیگر عنوان داشت که، مسئولی ت مدنی هوش مصنوعی مانند مسئولیت ناشی از اشیاء است و تحت نظام مسئولیت ناشی از تولید و عرضه کالا(اشیاء)، تولیدکننده یا عرضه کننده هوش مصنوعی را مسئول زیانهای ناشی از عیب و به کار گیری دانست، اما به این علت که سیستم هایی که مجهز به هوش مصنوعی هستند قدرت تصمیم گیری دارند بدین جهت نمی توان مسئولیت در اشیاء را با مسئولیت ناشی از هوش مصنوعی برابر دانست. در حقو ق انگلستان مسولیت ناشی از هوش مصنوعی به طور کلی چه ناشی از قرارداد باشدوچه ناشی از یک رابطه غیر قراردادی با نظریه عیب محصول ( نظریه مسئولیت محض) قابل توجیه دانست . تحقق مسئولیت مدنی اعم از قرارداد ی و غیرقراردادی وابسته به احراز عیب درهوش مصنوعی ویا تخطی سازنده هوش مصنوعی، بروز ضرر و رابطه سببیت میان آن دو است. هدف اصلی این مقاله تحلیل تطبیقی مسئولیت مدنی پزشک در حقوق انگستان وایران می باشد. تعهدات پزشک در حقوق انگلستان به دو بخش تقسیم می شود. یکی تعهد به درمان که مسئولیت پزشک در آن مبتنی بر تقصیر است و دیگری تعهد به ایمنی بیمار که پیشنهاد شده است، بدون احراز تقصیر، پزشک در قبال آن مسئول باشد. در حقوق انگلستان، عمد و بی احتیاطی دو موج ب مستقل برای دعاوی مسئولیت مدنی محسوب می شوند. در انگلستان برای آنکه بی احتیاطی شخص، برای او مسئولیتی به بار بیاورد لازم است اولاً: شخص وارد کننده زیان نسبت به زیان دیده تکلیفی برای رعایت احتیاط و مراقبت داشته باشد. ثانیاً: با عملکردی غیرمتعارف، این تکلیف را نقض کند. ثالثاً: از نقض تکلیف مذکور، خسارتی به زیان دیده وارد آید که در پژوهش پیش رو بدان پرداخته خواهد شد,"مطالعه تطبیقی ـ هوش مصنوعی ـ مسئولیت مدنی ـ حقوق ایران ـ حقوق انگلیس / هوش مصنوعی
هوش مصنوعی ـ مسئولیت مدنی ـ امور پزشکی / Artificial Intelligence _civil liability _ Medical Affairs",
8,فراتحلیل تاثیر هوش مصنوعی بر بهره وری منابع انسانی,پیشنهاده,کارشناسی ارشد,1403,دانشگاه پیام نور استان خراسان جنوبی، مرکز پیام نور بیرجند,رضا برافشان,زهره شرعی,,چکیده : در عصر فناوری دیجیتال، اتخاذ هوش مصنوعی (AI) ضروری است زیرا فرصت‌ها و چالش‌های جدیدی را برای همه صنایع فراهم می‌کند. تحقیقات نشان می‌دهد استفاده از سیستم‌های هوش مصنوعی در کارکردهای مدیریت منابع انسانی به منظوربهره‌وری نیروی کار، افزایش کارایی، بهبود تصمیم گیری و خلق مزیت رقابتی پایدار در سازمان‌ها در حال شکل‌گیری روزافزون است. بنابراین هدف این پژوهش بررسی تاثیر هوش مصنوعی بر بهره‌وری منابع انسانی به روش فراتحلیل می‌باشد. این پژوهش با استفاده از مقالات قابل دسترسی در ساینس دایرکت که بین سال‌های 2020 تا 2024 (بازه 5 ساله) منتشر شدند، انجام شده است. این پژوهش از نظر نوع هدف کاربردی است. از نظر نوع گردآوری داده‌ها توصیفی می‌باشد و به دلیل استفاده از رویکرد فراتحلیل در دسته تحقیقات کمی قرار دارد. داده‌های پژوهش با استفاده از نرم‌افزار CMA2 تحلیل شدند. یافته-های تحقیق 31 عامل هوش مصنوعی که بر بهره‌وری نیروی انسانی تاثیرگذار بودند، را شناسایی کرد. بجز دو مورد، پیگیری اهداف کوتاه مدت مالی و تجربه زمان واقعی (05/0 Z)، بقیه عوامل شناسایی شده دارای اندازه اثر معنادار (05/0 > P و 96/1 < Z) با بهره‌وری منابع انسانی بودند. مطالعه هوش مصنوعی (احمدشاه، 2024) بیشترین اندازه اثر (999/0) را در بهره‌وری منابع انسانی داشت، همچنین مطالعه هوش مصنوعی (شهزاد و همکاران، 2023) کمترین اندازه اثر (145/0) را در بهره‌وری منابع انسانی داشت.,"هوش مصنوعی، بهره وری منابع انسانی، فراتحلیل / Meta-analysis, artificial intelligence, human resources productivity
فراتحلیل، هوش مصنوعی، بهره وری منابع انسانی / فراتحلیل، هوش مصنوعی، بهره وری منابع انسانی",
9,تأثیر یک ابزار مبتنی بر هوش مصنوعی بر گرامر و تمایل زبان‌آموزان ایرانی برای برقراری ارتباط,پیشنهاده,کارشناسی ارشد,1404,دانشگاه پیام نور استان آذربایجان شرقی، مرکز پیام نور تبریز,مهسا تابستانی,مینا عباسی بنابی,مرتضی جعفری,"اعتقاد بر این است که دستور زبان نقش اساسی در پرورش شایستگی زبانی زبان‌آموزان EFL دارد، زیرا به زبان‌آموزان این توانایی را می‌دهد که جملات هدفمندی بسازند که در برقراری ارتباط مؤثر مفید هستند (محمد و جاشان، 2024). آموزش و یادگیری سنتی دستور زبان در زمینه‌های انگلیسی به عنوان زبان خارجی (EFL) مبتنی بر تمرین یکنواخت است و بر حفظ کردن قوانین و مثال‌ها تأکید دارد. اگرچه این رویکرد می‌تواند به زبان‌آموزان در درک نظری دستور زبان کمک کند، اما نمی‌تواند انگیزه زبان‌آموزان را تقویت کند. علاوه بر این، این رویکرد برای کمک به زبان‌آموزان در به‌کارگیری دانش دستور زبان خود در موقعیت‌های واقعی زندگی بی‌اثر بود (محمد و جاشان، 2024). همانطور که هو (2014) بیان می‌کند، زبان‌آموزانی که دستور زبان را به صورت سنتی یاد می‌گیرند، اغلب در به‌کارگیری دانش دستور زبان خود در موقعیت‌های ارتباطی واقعی زندگی با چالش‌هایی مواجه هستند. در نتیجه، امروزه به روش‌های پیشرفته تدریس مبتنی بر فناوری که محیطی تعاملی و زبان‌آموز محور ایجاد می‌کنند، بسیار مورد نیاز است. بر این اساس، استفاده از هوش مصنوعی (AI) برای افزایش مهارت‌های دستور زبان اخیراً توجه فزاینده‌ای را به خود جلب کرده است (محمد و جاشان، 2024). ابزارهای مبتنی بر هوش مصنوعی (AI) دارای قابلیت‌هایی مانند پردازش زبان طبیعی (NLP)، یادگیری ماشین (ML) و یادگیری عمیق هستند که تجربیات یادگیری شخصی‌سازی‌شده و بازخورد فوری را برای زبان‌آموزان فراهم می‌کنند (Winaitham, 2022; Agrawal, 2024). همانطور که کیم (2019) اعلام می‌کند، استفاده از چت‌بات‌های هوش مصنوعی برای تقویت مهارت‌های دستور زبان انگلیسی دانشجویان دانشگاه، نسبت به شرکای انسانی کارآمدتر است. همانطور که قبلاً ذکر شد، تجربیات یادگیری شخصی‌سازی‌شده از ابزارهای مبتنی بر هوش مصنوعی قابلیت تطبیق با نیازهای منحصر به فرد زبان‌آموزان را دارند. علاوه بر این، این ابزارها در مقایسه با روش‌های سنتی قادر به ایجاد محیطی جذاب‌تر و انگیزشی‌تر هستند. با این حال، هنگام استفاده از ابزارهای مبتنی بر هوش مصنوعی، باید مسائل اخلاقی مانند حریم خصوصی و شفافیت در نظر گرفته شود (Agrawal, 2024). بنابراین، امروزه اشتیاق زیادی برای کشف رویکردهای نوآورانه‌ای که یک محیط یادگیری محرک و مولد را ایجاد می‌کنند، وجود دارد (Dewaele & Li, 2020). از سوی دیگر، فناوری، به ویژه هوش مصنوعی (AI) ماهیتی دگرگون‌کننده دارد. بر این اساس، نقش مثبتی در شکل‌دهی و ارتقای تجربیات زبانی زبان‌آموزان دارد (جی و همکاران، 2023). هوش مصنوعی این قابلیت را دارد که بخش جدایی‌ناپذیری از محیط یادگیری باشد (زاواکی-ریچتر و همکاران، 2019). بنابراین، فرصت‌های منحصر به فردی را فراهم می‌کند که فراتر از روش‌های سنتی است (ریندرز و واتانا، 2014؛ تای و چن، 2023). در نتیجه، فرض بر این است که هوش مصنوعی (AI) می‌تواند بر ابعاد عاطفی زبان‌آموزان، مانند تمایل آنها به برقراری ارتباط، تأثیر مثبتی بگذارد (ژانگ و همکاران، 2024). ریندرز و واتانا (2014) معتقدند که فناوری اضطراب زبان‌آموزان را کاهش داده و اعتماد به نفس و شایستگی ادراک شده آنها را افزایش می‌دهد. بنابراین، تمایل زبان‌آموزان به برقراری ارتباط در محیط‌های یادگیری مبتنی بر فناوری افزایش می‌یابد.","هوش مصنوعی_ یادگیری گرامر_برقراری ارتباط / AI-based tool_grammar_communicate
هوش مصنوعی_ یادگیری گرامر_برقراری ارتباط / هوش مصنوعی_ یادگیری گرامر_برقراری ارتباط",
10,بررسی عدم قطعیّت عملکرد حوضچه های رسوبی با استفاده از مدل های هوش مصنوعی,پیشنهاده,کارشناسی ارشد,1401,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان، دانشکده عمران و نقشه‌برداری,محمد جعفر جهرومی شیرازی,محمد نجف زاده,,حوضچه های ترسیب نقش جداکننده ذرّات معلق قابل ته نشین از سیّال را بر عهده دارند. عملکرد حوضچه های ترسیب به شدّت متأثر از اثرات هیدرولیکی و تیریکی ش چگالی جریان، نیروی ثقل و لخته شدن رسوبات می باشند پیش بینی دقیق عملکرد حوضچه های رسوبی سازه های هیدرولیکی به دلیل پیچیدگی های ناشی از بررسی همه جانبه و همزمان جریان آب و رسوبات و اعمال کلیّه متغیرهای مؤثر به سادگی میّسر نمی باشد. از آنجائی که ساخت مدل آزمایشگاهی مشکلات و محدودیت مالی را به همراه دارد و نمی توان اثر دقیق همه پارامترهای موثر در طراحی حوضچه های رسوبگیر را در نظر گرفت. لذا در این تحقیق از مدل های هوش مصنوعی که در واقع از پیچیدگی خاص ساختار برخوردار می باشد، می توانند کاهش خطا در تخمین راندامان حوضچه های رسوبگیر توسط روابط تجربی را جبران نمایند.,"3-مدل های هوش مصنوعی / 3-مدل های هوش مصنوعی
ذرات معلق قابل ته نشین / ذرات معلق قابل ته نشین
راندمان حوصچه های ترسیب / راندمان حوصچه های ترسیب",
